0	0	0	0	
0.01	0	0.04	0	
0.02	0.000399993	0.079998	0	
0.03	0.00119986	0.119986	0	
0.04	0.00239932	0.159956	0	
0.05	0.00399793	0.1999	0	
0.06	0.0059951	0.23981	0	
0.07	0.00839006	0.279678	0	
0.08	0.0111819	0.319496	0	
0.09	0.0143695	0.359257	0	
0.1	0.0179518	0.398951	0	
0.11	0.0219271	0.438572	0	
0.12	0.0262942	0.478111	0	
0.13	0.0310511	0.51756	0	
0.14	0.0361961	0.556912	0	
0.15	0.0417271	0.596159	0	
0.16	0.0476421	0.635292	0	
0.17	0.0539386	0.674305	0	
0.18	0.0606142	0.713189	0	
0.19	0.0676663	0.751936	0	
0.2	0.075092	0.79054	0	
0.21	0.0828886	0.828992	0	
0.22	0.091053	0.867284	0	
0.23	0.0995818	0.905409	0	
0.24	0.108472	0.94336	0	
0.25	0.11772	0.981129	0	
0.26	0.127322	1.01871	0	
0.27	0.137274	1.05609	0	
0.28	0.147572	1.09327	0	
0.29	0.158213	1.13024	0	
0.3	0.169193	1.16698	0	
0.31	0.180506	1.2035	0	
0.32	0.192149	1.23979	0	
0.33	0.204116	1.27584	0	
0.34	0.216405	1.31164	0	
0.35	0.229008	1.34719	0	
0.36	0.241923	1.38247	0	
0.37	0.255143	1.41749	0	
0.38	0.268663	1.45223	0	
0.39	0.282479	1.48669	0	
0.4	0.296585	1.52086	0	
0.41	0.310975	1.55474	0	
0.42	0.325645	1.58831	0	
0.43	0.340588	1.62158	0	
0.44	0.355798	1.65453	0	
0.45	0.37127	1.68717	0	
0.46	0.386998	1.71947	0	
0.47	0.402976	1.75144	0	
0.48	0.419197	1.78308	0	
0.49	0.435656	1.81436	0	
0.5	0.452346	1.8453	0	
0.51	0.469262	1.87588	0	
0.52	0.486395	1.9061	0	
0.53	0.503741	1.93595	0	
0.54	0.521293	1.96542	0	
0.55	0.539043	1.99452	0	
0.56	0.556986	2.02323	0	
0.57	0.575114	2.05155	0	
0.58	0.593422	2.07947	0	
0.59	0.611901	2.107	0	
0.6	0.630545	2.13412	0	
0.61	0.649347	2.16082	0	
0.62	0.668301	2.18712	0	
0.63	0.687399	2.21299	0	
0.64	0.706634	2.23843	0	
0.65	0.726	2.26345	0	
0.66	0.745488	2.28804	0	
0.67	0.765092	2.31218	0	
0.68	0.784806	2.33588	0	
0.69	0.804621	2.35914	0	
0.7	0.82453	2.38194	0	
0.71	0.844527	2.40429	0	
0.72	0.864605	2.42618	0	
0.73	0.884755	2.4476	0	
0.74	0.904971	2.46856	0	
0.75	0.925246	2.48905	0	
0.76	0.945572	2.50907	0	
0.77	0.965942	2.52861	0	
0.78	0.98635	2.54766	0	
0.79	1.00679	2.56624	0	
0.8	1.02725	2.58432	0	
0.81	1.04772	2.60192	0	
0.82	1.06821	2.61902	0	
0.83	1.0887	2.63563	0	
0.84	1.10918	2.65174	0	
0.85	1.12965	2.66734	0	
0.86	1.15009	2.68244	0	
0.87	1.17052	2.69704	0	
0.88	1.19091	2.71113	0	
0.89	1.21126	2.72471	0	
0.9	1.23156	2.73777	0	
0.91	1.25181	2.75032	0	
0.92	1.272	2.76235	0	
0.93	1.29212	2.77386	0	
0.94	1.31217	2.78486	0	
0.95	1.33214	2.79533	0	
0.96	1.35202	2.80527	0	
0.97	1.3718	2.81469	0	
0.98	1.39149	2.82359	0	
0.99	1.41108	2.83195	0	
1	1.43055	2.83979	0	
